stock_code,expiry_date,strike_price,datetime,call_open,call_high,call_low,call_close,call_OI,call_volume,put_open,put_high,put_low,put_close,put_OI,put_volume
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:17:00,248.0,248.0,248.0,248.0,0.0,0.0,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:18:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:23:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:24:00,248.0,248.0,248.0,248.0,0.0,0.0,,,,,,
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:25:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:28:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:30:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:41:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:43:00,248.0,248.0,248.0,248.0,0.0,0.0,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:44:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:45:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:49:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:50:00,248.0,248.0,248.0,248.0,0.0,0.0,,,,,,
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:52:00,248.0,248.0,248.0,248.0,0.0,0.0,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:54:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:55:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 09:57:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:09:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:11:00,248.0,248.0,248.0,248.0,0.0,0.0,,,,,,
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:15:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:16:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:19:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:20:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:21:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:22:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:23:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:25:00,,,,,,,1437.2,1437.2,1437.2,1437.2,0.0,0.0
NIFTY,26-DEC-2024,25950.0,28-10-2024 10:26:00,248.0,248.0,248.0,248.0,0.0,0.0,1437.2,1437.2,1437.2,1437.2,0.0,0.0
