stock_code,expiry_date,strike_price,datetime,call_open,call_high,call_low,call_close,call_OI,call_volume,put_open,put_high,put_low,put_close,put_OI,put_volume
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:25:00,55.2,55.2,55.2,55.2,0.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:26:00,55.2,55.2,55.2,55.2,0.0,25.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:27:00,55.2,55.2,55.2,55.2,0.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:30:00,55.2,55.2,55.2,55.2,0.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:31:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:34:00,54.85,54.85,54.85,54.85,25.0,25.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:35:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:36:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:39:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:42:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:45:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:46:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:51:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:54:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:57:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:58:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 10:59:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:02:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:03:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:05:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:07:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:08:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:09:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
NIFTY,19-DEC-2024,25250.0,26-11-2024 11:10:00,54.85,54.85,54.85,54.85,25.0,0.0,,,,,,
